"","fDate","datalogger","temp_min","temp_median","temp_mean","temp_max","hum_min","hum_median","hum_mean","hum_max","vpd_min","vpd_median","vpd_mean","vpd_max","transect","Community","site","time"
"65",2020-01-21,1,11.8,22.3,23.09375,38,25.8,38.5,44.346875,69.9,0.418226432847535,1.667015751026,1.94686729596184,4.82084177701487,"t1","B shrubland","B shrubland / t1",31
"66",2020-01-22,1,11.8,22.25,23.8333333333333,39.2,24.5,40.15,43.0322916666667,67.5,0.457569672823257,1.60518673143616,2.06930273647586,5.29251373528702,"t1","B shrubland","B shrubland / t1",32
"67",2020-01-23,1,10.9,21.4,21.7614583333333,37.7,19.8,35.9,36.146875,55.3,0.592966013769692,1.63741587424736,1.96675141551509,5.25400504304806,"t1","B shrubland","B shrubland / t1",33
"68",2020-01-24,1,7.3,16.05,18.0177083333333,37,21.2,40.25,43.5395833333333,66.9,0.346925902146232,1.10805460071834,1.54066087054033,4.9061850861716,"t1","B shrubland","B shrubland / t1",34
"69",2020-01-25,1,11.1,15.75,17.178125,26.6,35.5,54.5,54.8322916666667,70.6,0.390004492278053,0.812447070515616,0.968044547159342,2.03504269987048,"t1","B shrubland","B shrubland / t1",35
"70",2020-01-26,1,10.2,16.85,19.26875,35.1,23.2,54.25,50.378125,72,0.359284423848168,0.881565055809366,1.42509202859363,3.97092897361241,"t1","B shrubland","B shrubland / t1",36
"71",2020-01-27,1,6.7,16.5,18.4885416666667,35.2,21.8,43.9,45.0208333333333,67.6,0.319283993644839,1.05593184845121,1.51017754337889,4.33569861470663,"t1","B shrubland","B shrubland / t1",37
"72",2020-01-28,1,11.3,15.55,17.0947916666667,29.3,28.7,56.45,57.8302083333333,87.6,0.178062278060713,0.838124773492033,0.984280069107286,2.84869001834931,"t1","B shrubland","B shrubland / t1",38
"73",2020-01-29,1,3.5,9.65,13.7979166666667,30.2,21.1,47.6,45.4208333333333,64.4,0.28072414596221,0.643279874084563,1.1389558005209,3.29753871530474,"t1","B shrubland","B shrubland / t1",39
"74",2020-01-30,1,7,15,17.465625,35.2,23,39.85,39.4708333333333,52.9,0.473805581519941,1.08964467250313,1.43265535271153,4.21002619109195,"t1","B shrubland","B shrubland / t1",40
"75",2020-01-31,1,12.4,16.7,17.6708333333333,27.6,32.8,63.4,60.0854166666667,77.3,0.332454466994718,0.716110732542858,0.920703710816066,2.33593367232954,"t1","B shrubland","B shrubland / t1",41
"76",2020-02-01,1,9.9,13.5,16.253125,35,34.5,64.05,61.2677083333333,79,0.258876953564514,0.575027519488583,0.871376867511232,3.70042951139423,"t1","B shrubland","B shrubland / t1",42
"77",2020-02-02,1,3.5,10,14.2927083333333,30.2,23.9,63.15,54.6333333333333,79.8,0.161652949219812,0.454280514813482,1.03971334844161,2.99149263845946,"t1","B shrubland","B shrubland / t1",43
"78",2020-02-03,1,6.6,10.15,11.00625,22,31.8,69.9,64.7458333333333,86.2,0.175105986227202,0.405723491085618,0.476934030136096,1.42159755263065,"t1","B shrubland","B shrubland / t1",44
"79",2020-02-04,1,3.6,6.9,8.14270833333333,17.2,56.8,87.2,84.334375,93.2,0.0616427523557949,0.130577505130755,0.195798946612595,0.793845369011099,"t1","B shrubland","B shrubland / t1",45
"80",2020-02-05,1,2.7,7.9,10.3875,25.2,33.7,77.4,65.771875,85.8,0.109588380375505,0.24928153382611,0.60296364908582,2.10485888968804,"t1","B shrubland","B shrubland / t1",46
"81",2020-02-06,1,4.6,11.5,11.8864583333333,25.4,35.6,66.3,65.04375,85.2,0.127856104719231,0.48047794152071,0.584752333698491,2.09748030638332,"t1","B shrubland","B shrubland / t1",47
"82",2020-02-07,1,2.7,11.4,13.85625,28.7,25.8,49.6,53.1395833333333,83.7,0.124950673755571,0.693170579829623,1.00334435088382,2.76745831725132,"t1","B shrubland","B shrubland / t1",48
"83",2020-02-08,1,5.7,14.25,17.296875,34.2,25.6,44,48.0791666666667,72.5,0.258228199021255,0.922728726079992,1.36373241793206,3.9982334131441,"t1","B shrubland","B shrubland / t1",49
