"","fuel_type","fuel_type_num","transect","Community","site","site_num","fuel_site","fuel_site_num","datalogger","point_id","date","time","moisture"
"391","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2020-02-19,60,200
"392","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2020-02-19,60,148.496240601504
"393","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2020-02-19,60,241.317365269461
"394","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2020-02-19,60,138.056680161943
"395","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2020-02-27,68,134.169278996865
"396","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2020-02-27,68,184.285714285714
"397","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2020-02-27,68,136.567164179104
"398","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2020-02-27,68,178.571428571429
"399","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2020-02-27,68,107.858546168959
"400","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,1,2020-03-15,85,147.169811320755
"401","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,2,2020-03-15,85,132.317073170732
"402","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,3,2020-03-15,85,134.317343173432
"403","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,4,2020-03-15,85,143.44262295082
"404","Live fuel mixture","1","t1","B shrubland","B shrubland / t1","4","Live fuel mixture / B shrubland / t1","4",1,5,2020-03-15,85,109.881422924901
"46","Live fuel mixture","1","t2","U forest","U forest / t2","5","Live fuel mixture / U forest / t2","5",8,36,2019-11-21,-30,145.412844036697
"47","Live fuel mixture","1","t2","U forest","U forest / t2","5","Live fuel mixture / U forest / t2","5",8,37,2019-11-21,-30,133.636363636364
"48","Live fuel mixture","1","t2","U forest","U forest / t2","5","Live fuel mixture / U forest / t2","5",8,38,2019-11-21,-30,136.410256410256
"49","Live fuel mixture","1","t2","U forest","U forest / t2","5","Live fuel mixture / U forest / t2","5",8,39,2019-11-21,-30,171.065989847716
"50","Live fuel mixture","1","t2","U forest","U forest / t2","5","Live fuel mixture / U forest / t2","5",8,50,2019-11-21,-30,134.975369458128
"51","Live fuel mixture","1","t2","U forest","U forest / t2","5","Live fuel mixture / U forest / t2","5",8,36,2019-12-06,-15,134.782608695652
